No,;Time;;Time 1;Time 2;Delay ;;Delay 1;Delay 2;Jitter
319;1,797059;;1,797059;1,797059;0;;0;0;0
320;1,797059;;1,797059;1,797059;0;;-0,011702;0,011702;0,023404
321;1,797059;;1,797059;1,808761;0,011702;;0,01139;0,000312;-0,011078
322;1,808761;;1,808761;1,809073;0,000312;;-0,014448;0,01476;0,029208
323;1,809073;;1,809073;1,823833;0,01476;;-0,017806;0,032566;0,050372
324;1,823833;;1,823833;1,856399;0,032566;;0,032566;0;-0,032566
325;1,856399;;1,856399;1,856399;0;;0;0;0
326;1,856399;;1,856399;1,856399;0;;0;0;0
327;1,856399;;1,856399;1,856399;0;;0;0;0
328;1,856399;;1,856399;1,856399;0;;0;0;0
329;1,856399;;1,856399;1,856399;0;;0;0;0
330;1,856399;;1,856399;1,856399;0;;0;0;0
331;1,856399;;1,856399;1,856399;0;;0;0;0
332;1,856399;;1,856399;1,856399;0;;0;0;0
333;1,856399;;1,856399;1,856399;0;;-0,000831;0,000831;0,001662
334;1,856399;;1,856399;1,857230;0,000831;;-0,008788;0,009619;0,018407
335;1,857230;;1,857230;1,866849;0,009619;;0,009619;0;-0,009619
336;1,866849;;1,866849;1,866849;0;;-0,000453;0,000453;0,000906
337;1,866849;;1,866849;1,867302;0,000453;;-0,010439;0,010892;0,021331
338;1,867302;;1,867302;1,878194;0,010892;;0,002088;0,008804;0,006716
339;1,878194;;1,878194;1,886998;0,008804;;-0,0088;0,017604;0,026404
340;1,886998;;1,886998;1,904602;0,017604;;0,017604;0;-0,017604
341;1,904602;;1,904602;1,904602;0;;0;0;0
342;1,904602;;1,904602;1,904602;0;;0;0;0
343;1,904602;;1,904602;1,904602;0;;0;0;0
344;1,904602;;1,904602;1,904602;0;;0;0;0
345;1,904602;;1,904602;1,904602;0;;0;0;0
346;1,904602;;1,904602;1,904602;0;;-0,012618;0,012618;0,025236
347;1,904602;;1,904602;1,917220;0,012618;;-0,028875;0,041493;0,070368
348;1,917220;;1,917220;1,958713;0,041493;;0,041493;0;-0,041493
349;1,958713;;1,958713;1,958713;0;;-0,002515;0,002515;0,00503
350;1,958713;;1,958713;1,961228;0,002515;;0,002515;0;-0,002515
351;1,961228;;1,961228;1,961228;0;;-0,002282;0,002282;0,004564
352;1,961228;;1,961228;1,963510;0,002282;;-0,006385;0,008667;0,015052
353;1,963510;;1,963510;1,972177;0,008667;;0,008667;0;-0,008667
354;1,972177;;1,972177;1,972177;0;;0;0;0
355;1,972177;;1,972177;1,972177;0;;-0,000546;0,000546;0,001092
356;1,972177;;1,972177;1,972723;0,000546;;-0,003325;0,003871;0,007196
357;1,972723;;1,972723;1,976594;0,003871;;0,003871;0;-0,003871
358;1,976594;;1,976594;1,976594;0;;0;0;0
359;1,976594;;1,976594;1,976594;0;;0;0;0
360;1,976594;;1,976594;1,976594;0;;0;0;0
361;1,976594;;1,976594;1,976594;0;;0;0;0
362;1,976594;;1,976594;1,976594;0;;0;0;0
363;1,976594;;1,976594;1,976594;0;;0;0;0
364;1,976594;;1,976594;1,976594;0;;-0,000561;0,000561;0,001122
365;1,976594;;1,976594;1,977155;0,000561;;-0,00424;0,004801;0,009041
366;1,977155;;1,977155;1,981956;0,004801;;0,004801;0;-0,004801
367;1,981956;;1,981956;1,981956;0;;-0,009059;0,009059;0,018118
368;1,981956;;1,981956;1,991015;0,009059;;0,009059;0;-0,009059
369;1,991015;;1,991015;1,991015;0;;-0,000437;0,000437;0,000874
370;1,991015;;1,991015;1,991452;0,000437;;-0,012346;0,012783;0,025129
371;1,991452;;1,991452;2,004235;0,012783;;0,012783;0;-0,012783
372;2,004235;;2,004235;2,004235;0;;-0,00045;0,00045;0,0009
373;2,004235;;2,004235;2,004685;0,00045;;-0,006555;0,007005;0,01356
374;2,004685;;2,004685;2,011690;0,007005;;0,005105;0,0019;-0,003205
375;2,011690;;2,011690;2,013590;0,0019;;0,001792;0,000108;-0,001684
376;2,013590;;2,013590;2,013698;0,000108;;7,3E-05;3,5E-05;-3,8E-05
377;2,013698;;2,013698;2,013733;3,5E-05;;-0,066139;0,066174;0,132313
378;2,013733;;2,013733;2,079907;0,066174;;0,063029;0,003145;-0,059884
379;2,079907;;2,079907;2,083052;0,003145;;-0,00097;0,004115;0,005085
380;2,083052;;2,083052;2,087167;0,004115;;0,004076;3,9E-05;-0,004037
381;2,087167;;2,087167;2,087206;3,9E-05;;-0,01559;0,015629;0,031219
382;2,087206;;2,087206;2,102835;0,015629;;-0,048794;0,064423;0,113217
383;2,102835;;2,102835;2,167258;0,064423;;-0,242407;0,30683;0,549237
384;2,167258;;2,167258;2,474088;0,30683;;0,306693;0,000137;-0,306556
385;2,474088;;2,474088;2,474225;0,000137;;0,000137;0;-0,000137
386;2,474225;;2,474225;2,474225;0;;0;0;0
387;2,474225;;2,474225;2,474225;0;;0;0;0
388;2,474225;;2,474225;2,474225;0;;-0,290741;0,290741;0,581482
389;2,474225;;2,474225;2,764966;0,290741;;0,254646;0,036095;-0,218551
390;2,764966;;2,764966;2,801061;0,036095;;0,036095;0;-0,036095
391;2,801061;;2,801061;2,801061;0;;0;0;0
392;2,801061;;2,801061;2,801061;0;;0;0;0
393;2,801061;;2,801061;2,801061;0;;0;0;0
394;2,801061;;2,801061;2,801061;0;;-0,000142;0,000142;0,000284
395;2,801061;;2,801061;2,801203;0,000142;;-0,013004;0,013146;0,02615
396;2,801203;;2,801203;2,814349;0,013146;;0,013008;0,000138;-0,01287
397;2,814349;;2,814349;2,814487;0,000138;;0,000138;0;-0,000138
